name,position,prediction_season,predicted_goals_per_match,actual_goals_per_match
Tim  Kneule,Middle Back,2012/2013,1.4723741609386263,2.4516129032258065
Tim  Kneule,Middle Back,2013/2014,2.2112248857510375,3.242424242424242
Tim  Kneule,Middle Back,2014/2015,2.796428733307075,2.4411764705882355
Tim  Kneule,Middle Back,2015/2016,2.281910597619748,2.088235294117647
Tim  Kneule,Middle Back,2016/2017,2.1593840625431864,2.8461538461538463
Tim  Kneule,Middle Back,2017/2018,2.672890426351007,3.40625
Dragos-Nicolae  Oprea,Left Wing,2012/2013,1.6875854636646903,2.8333333333333335
Dragos-Nicolae  Oprea,Left Wing,2013/2014,2.672890426351007,1.303030303030303
Dragos-Nicolae  Oprea,Left Wing,2014/2015,1.9132895121090332,0.9666666666666667
Dragos-Nicolae  Oprea,Left Wing,2015/2016,1.4663614203385529,2.5454545454545454
Dragos-Nicolae  Oprea,Left Wing,2016/2017,2.4149560001609185,1.0
Michael  Thiede,Right Back,2012/2013,2.339011386125221,3.235294117647059
Michael  Thiede,Right Back,2013/2014,2.796428733307075,0.26666666666666666
Christian  Schöne,Right Wing,2012/2013,2.1928631133085497,2.225806451612903
Christian  Schöne,Right Wing,2013/2014,2.1593840625431864,2.4827586206896552
Christian  Schöne,Right Wing,2014/2015,2.3366472235144378,0.7714285714285715
Christian  Schöne,Right Wing,2015/2016,1.245982005264133,0.0
Christian  Schöne,Right Wing,2016/2017,1.3252444119752238,1.5
Manuel  Späth,Line Player,2012/2013,2.58530105991561,2.5483870967741935
Manuel  Späth,Line Player,2013/2014,2.4671354713468383,2.0588235294117645
Manuel  Späth,Line Player,2014/2015,2.0493870185928076,1.8888888888888888
Manuel  Späth,Line Player,2015/2016,1.927356867319718,1.6470588235294117
Manuel  Späth,Line Player,2016/2017,1.8564232110397931,1.6666666666666667
Manuel  Späth,Line Player,2017/2018,1.8564232110397931,1.911764705882353
Lars  Kaufmann ,Left Back,2012/2013,3.1579897914800097,2.95
Lars  Kaufmann ,Left Back,2016/2017,2.716649718622526,1.7878787878787878
Draško Mrvaljević,Right Wing,2012/2013,2.672890426351007,5.423076923076923
Draško Mrvaljević,Right Wing,2013/2014,4.0240115040988185,1.0833333333333333
Draško Mrvaljević,Right Wing,2014/2015,2.3454146088051844,1.5
Michael  Haaß,Middle Back,2012/2013,2.281910597619748,2.066666666666667
Michael  Haaß,Middle Back,2013/2014,2.0493870185928076,1.0909090909090908
Michael  Haaß,Middle Back,2014/2015,1.781092822138294,1.9166666666666667
Michael  Haaß,Middle Back,2015/2016,1.7804957380902486,1.5
Michael  Haaß,Middle Back,2016/2017,1.8477514720162307,1.5357142857142858
Michael  Haaß,Middle Back,2017/2018,1.8477514720162307,1.5294117647058822
Kai  Häfner ,Right Back,2012/2013,2.2592075031927408,3.5
Kai  Häfner ,Right Back,2013/2014,3.1994716391678097,3.608695652173913
Kai  Häfner ,Right Back,2014/2015,3.1400507183886015,4.34375
Kai  Häfner ,Right Back,2015/2016,3.82781757128929,5.269230769230769
Kai  Häfner ,Right Back,2016/2017,4.194784827955997,4.9411764705882355
Kai  Häfner ,Right Back,2017/2018,4.310326203541853,4.794117647058823
Maximilian  Schubert,Left Wing,2012/2013,1.87981046134367,1.4666666666666666
Maximilian  Schubert,Left Wing,2013/2014,1.8477514720162307,2.4545454545454546
Maximilian  Schubert,Left Wing,2014/2015,2.3112840605001135,2.3870967741935485
Pavel  Horák,Left Back,2012/2013,3.833679959481266,5.035714285714286
Pavel  Horák,Left Back,2013/2014,4.1031615637947425,3.5454545454545454
Pavel  Horák,Left Back,2014/2015,3.0046324346899933,2.25
Pavel  Horák,Left Back,2015/2016,2.2466498305165716,2.909090909090909
Pavel  Horák,Left Back,2016/2017,2.672890426351007,2.1818181818181817
Denis   Spoljaric,Middle Back,2012/2013,0.6190849738642967,0.0625
Denis   Spoljaric,Middle Back,2013/2014,0.6190849738642967,0.12121212121212122
Torsten Laen,Line Player,2012/2013,2.0400941777347534,2.3125
Rúnar Kárason,Right Back,2012/2013,2.8517197090869435,3.3076923076923075
Rúnar Kárason,Right Back,2013/2014,2.8625609484867307,2.5238095238095237
Rúnar Kárason,Right Back,2014/2015,2.4670325574682908,3.32
Rúnar Kárason,Right Back,2015/2016,2.8782225769944203,2.896551724137931
Rúnar Kárason,Right Back,2016/2017,2.672890426351007,1.9090909090909092
Rúnar Kárason,Right Back,2017/2018,1.9994024653621891,0.9354838709677419
Sven-Sören  Christophersen,Left Back,2012/2013,4.172180976647515,4.08
Sven-Sören  Christophersen,Left Back,2013/2014,3.761978625253721,1.9130434782608696
Sven-Sören  Christophersen,Left Back,2014/2015,2.3208218800656235,3.8076923076923075
Sven-Sören  Christophersen,Left Back,2015/2016,3.0638963302497615,3.484848484848485
Sven-Sören  Christophersen,Left Back,2016/2017,3.002343739324586,0.6818181818181818
Sven-Sören  Christophersen,Left Back,2017/2018,1.6256620560132062,0.030303030303030304
Markus  Richwien,Right Wing,2012/2013,1.476489429896197,1.64
Markus  Richwien,Right Wing,2013/2014,1.7416210711377633,1.375
Markus  Richwien,Right Wing,2014/2015,1.8477514720162307,2.5
